ID,Nombre,Apellido,Rol,Departamento,Sucursal/Asignación,Teléfono
74,Nombre_74,Apellido_74,Asesor Financiero,Sacatepéquez,Sucursal/Agencia 803,+502 8102-1420
75,Nombre_75,Apellido_75,Cumplimiento,Huehuetenango,Sucursal/Agencia 723,+502 6532-8907
76,Nombre_76,Apellido_76,Gerente de Sucursal,Petén,Sucursal/Agencia 728,+502 8126-4315
77,Nombre_77,Apellido_77,Cajero,Quetzaltenango,Sucursal/Agencia 71,+502 6441-7933
78,Nombre_78,Apellido_78,Oficial de Crédito,Sacatepéquez,Sucursal/Agencia 381,+502 9913-8332
79,Nombre_79,Apellido_79,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 205,+502 4682-2820
80,Nombre_80,Apellido_80,Asesor Financiero,Jutiapa,Sucursal/Agencia 875,+502 1742-2858
81,Nombre_81,Apellido_81,Administrador,Sacatepéquez,Sucursal/Agencia 978,+502 4784-2618
82,Nombre_82,Apellido_82,Cumplimiento,Huehuetenango,Sucursal/Agencia 637,+502 9597-2070
83,Nombre_83,Apellido_83,Auditor Interno,Sacatepéquez,Sucursal/Agencia 971,+502 3718-6948
84,Nombre_84,Apellido_84,Cajero,Quetzaltenango,Sucursal/Agencia 857,+502 6979-9800
85,Nombre_85,Apellido_85,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 819,+502 3479-6079
86,Nombre_86,Apellido_86,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 383,+502 6733-3586
87,Nombre_87,Apellido_87,Soporte Técnico,Jalapa,Sucursal/Agencia 733,+502 2877-6174
88,Nombre_88,Apellido_88,Cajero,Escuintla,Sucursal/Agencia 797,+502 8025-9626
89,Nombre_89,Apellido_89,Cajero,Guatemala,Sucursal/Agencia 899,+502 7116-2220
90,Nombre_90,Apellido_90,Ejecutivo de Cuentas,Jutiapa,Sucursal/Agencia 272,+502 7333-6019
91,Nombre_91,Apellido_91,Oficial de Crédito,Jalapa,Sucursal/Agencia 994,+502 6318-2955
92,Nombre_92,Apellido_92,Cajero,Sacatepéquez,Sucursal/Agencia 993,+502 2255-2720
93,Nombre_93,Apellido_93,Atención al Cliente,Jalapa,Sucursal/Agencia 252,+502 3799-2113
94,Nombre_94,Apellido_94,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 796,+502 5692-1515
95,Nombre_95,Apellido_95,Oficial de Crédito,Jalapa,Sucursal/Agencia 306,+502 8339-3997
96,Nombre_96,Apellido_96,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 145,+502 4247-2449
97,Nombre_97,Apellido_97,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 774,+502 7422-8006
98,Nombre_98,Apellido_98,Gerente de Sucursal,Sacatepéquez,Sucursal/Agencia 166,+502 9400-1754
99,Nombre_99,Apellido_99,Cumplimiento,Petén,Sucursal/Agencia 322,+502 6671-7735
100,Nombre_100,Apellido_100,Administrador,Escuintla,Sucursal/Agencia 152,+502 5631-7422
101,Nombre_101,Apellido_101,Administrador,Sacatepéquez,Sucursal/Agencia 322,+502 2631-2234
102,Nombre_102,Apellido_102,Gerente de Sucursal,Jalapa,Sucursal/Agencia 520,+502 1033-7522
103,Nombre_103,Apellido_103,Asesor Financiero,Guatemala,Sucursal/Agencia 168,+502 6186-4013
104,Nombre_104,Apellido_104,Cajero,Petén,Sucursal/Agencia 552,+502 1247-6158
105,Nombre_105,Apellido_105,Atención al Cliente,Petén,Sucursal/Agencia 11,+502 9566-2197
106,Nombre_106,Apellido_106,Administrador,Escuintla,Sucursal/Agencia 814,+502 1417-3389
107,Nombre_107,Apellido_107,Soporte Técnico,Quetzaltenango,Sucursal/Agencia 903,+502 7886-4931
108,Nombre_108,Apellido_108,Cajero,Quetzaltenango,Sucursal/Agencia 225,+502 2645-8721
109,Nombre_109,Apellido_109,Gerente de Sucursal,Escuintla,Sucursal/Agencia 844,+502 3422-5308
110,Nombre_110,Apellido_110,Ejecutivo de Cuentas,Huehuetenango,Sucursal/Agencia 13,+502 2783-5477
111,Nombre_111,Apellido_111,Administrador,Sacatepéquez,Sucursal/Agencia 518,+502 6822-2453
112,Nombre_112,Apellido_112,Soporte Técnico,Sacatepéquez,Sucursal/Agencia 700,+502 2080-6706
113,Nombre_113,Apellido_113,Asesor Financiero,Jalapa,Sucursal/Agencia 121,+502 7074-1260
114,Nombre_114,Apellido_114,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 993,+502 6414-3207
115,Nombre_115,Apellido_115,Asesor Financiero,Guatemala,Sucursal/Agencia 869,+502 4600-6960
116,Nombre_116,Apellido_116,Administrador,Chiquimula,Sucursal/Agencia 216,+502 6116-8286
117,Nombre_117,Apellido_117,Auditor Interno,Sacatepéquez,Sucursal/Agencia 623,+502 7380-4039
118,Nombre_118,Apellido_118,Ejecutivo de Cuentas,Jutiapa,Sucursal/Agencia 959,+502 3991-4147
119,Nombre_119,Apellido_119,Soporte Técnico,Guatemala,Sucursal/Agencia 958,+502 7697-7097
120,Nombre_120,Apellido_120,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 749,+502 9185-3663
121,Nombre_121,Apellido_121,Oficial de Crédito,Jutiapa,Sucursal/Agencia 239,+502 7530-1682
122,Nombre_122,Apellido_122,Auditor Interno,Jutiapa,Sucursal/Agencia 157,+502 1845-1288
123,Nombre_123,Apellido_123,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 447,+502 6668-3688
124,Nombre_124,Apellido_124,Cumplimiento,Huehuetenango,Sucursal/Agencia 538,+502 4520-5475
125,Nombre_125,Apellido_125,Cumplimiento,Quetzaltenango,Sucursal/Agencia 732,+502 1270-3804
126,Nombre_126,Apellido_126,Gerente de Sucursal,Escuintla,Sucursal/Agencia 24,+502 2770-5086
127,Nombre_127,Apellido_127,Auditor Interno,Quetzaltenango,Sucursal/Agencia 759,+502 7597-5532
128,Nombre_128,Apellido_128,Atención al Cliente,Jutiapa,Sucursal/Agencia 424,+502 3475-8348
129,Nombre_129,Apellido_129,Auditor Interno,Jalapa,Sucursal/Agencia 823,+502 9153-7941
130,Nombre_130,Apellido_130,Atención al Cliente,Jutiapa,Sucursal/Agencia 741,+502 6330-2132
131,Nombre_131,Apellido_131,Cajero,Jutiapa,Sucursal/Agencia 306,+502 5912-3964
132,Nombre_132,Apellido_132,Soporte Técnico,Petén,Sucursal/Agencia 383,+502 2774-3831
133,Nombre_133,Apellido_133,Soporte Técnico,Jutiapa,Sucursal/Agencia 196,+502 1714-6179
134,Nombre_134,Apellido_134,Asesor Financiero,Jutiapa,Sucursal/Agencia 769,+502 9009-6615
135,Nombre_135,Apellido_135,Administrador,Escuintla,Sucursal/Agencia 775,+502 7751-1131
136,Nombre_136,Apellido_136,Atención al Cliente,Huehuetenango,Sucursal/Agencia 398,+502 4029-5891
137,Nombre_137,Apellido_137,Cajero,Escuintla,Sucursal/Agencia 508,+502 3167-5348
138,Nombre_138,Apellido_138,Administrador,Jutiapa,Sucursal/Agencia 143,+502 6352-3775
139,Nombre_139,Apellido_139,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 311,+502 9368-3701
140,Nombre_140,Apellido_140,Soporte Técnico,Guatemala,Sucursal/Agencia 533,+502 9751-2335
141,Nombre_141,Apellido_141,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 714,+502 3776-4043
142,Nombre_142,Apellido_142,Cumplimiento,Jutiapa,Sucursal/Agencia 444,+502 3014-5646
143,Nombre_143,Apellido_143,Auditor Interno,Quetzaltenango,Sucursal/Agencia 499,+502 9093-7077
144,Nombre_144,Apellido_144,Oficial de Crédito,Chiquimula,Sucursal/Agencia 639,+502 4468-1682
145,Nombre_145,Apellido_145,Soporte Técnico,Sacatepéquez,Sucursal/Agencia 414,+502 2215-5067
146,Nombre_146,Apellido_146,Oficial de Crédito,Guatemala,Sucursal/Agencia 384,+502 9450-3575
147,Nombre_147,Apellido_147,Auditor Interno,Escuintla,Sucursal/Agencia 936,+502 1065-8909
148,Nombre_148,Apellido_148,Cajero,Chiquimula,Sucursal/Agencia 992,+502 1967-7536
149,Nombre_149,Apellido_149,Asesor Financiero,Huehuetenango,Sucursal/Agencia 398,+502 3525-3459
150,Nombre_150,Apellido_150,Auditor Interno,Sacatepéquez,Sucursal/Agencia 939,+502 9121-7709
151,Nombre_151,Apellido_151,Soporte Técnico,Escuintla,Sucursal/Agencia 264,+502 6301-6092
152,Nombre_152,Apellido_152,Administrador,Quetzaltenango,Sucursal/Agencia 670,+502 1465-5267
153,Nombre_153,Apellido_153,Asesor Financiero,Guatemala,Sucursal/Agencia 999,+502 6587-9285
154,Nombre_154,Apellido_154,Administrador,Guatemala,Sucursal/Agencia 203,+502 2969-3105
155,Nombre_155,Apellido_155,Administrador,Huehuetenango,Sucursal/Agencia 282,+502 9962-2953
156,Nombre_156,Apellido_156,Atención al Cliente,Chiquimula,Sucursal/Agencia 595,+502 5025-9581
157,Nombre_157,Apellido_157,Cajero,Guatemala,Sucursal/Agencia 743,+502 1005-3331
158,Nombre_158,Apellido_158,Ejecutivo de Cuentas,Alta Verapaz,Sucursal/Agencia 168,+502 1222-8312
159,Nombre_159,Apellido_159,Cumplimiento,Escuintla,Sucursal/Agencia 592,+502 2441-5915
160,Nombre_160,Apellido_160,Asesor Financiero,Alta Verapaz,Sucursal/Agencia 545,+502 6024-5695
161,Nombre_161,Apellido_161,Atención al Cliente,Jalapa,Sucursal/Agencia 934,+502 3462-9247
162,Nombre_162,Apellido_162,Atención al Cliente,Chiquimula,Sucursal/Agencia 180,+502 9552-7758
163,Nombre_163,Apellido_163,Asesor Financiero,Guatemala,Sucursal/Agencia 215,+502 8209-7219
164,Nombre_164,Apellido_164,Gerente de Sucursal,Alta Verapaz,Sucursal/Agencia 424,+502 4950-8404
165,Nombre_165,Apellido_165,Asesor Financiero,Chiquimula,Sucursal/Agencia 367,+502 3188-3725
166,Nombre_166,Apellido_166,Cumplimiento,Jutiapa,Sucursal/Agencia 906,+502 4287-6494
167,Nombre_167,Apellido_167,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 626,+502 5049-7280
168,Nombre_168,Apellido_168,Atención al Cliente,Escuintla,Sucursal/Agencia 101,+502 7845-4355
169,Nombre_169,Apellido_169,Soporte Técnico,Quetzaltenango,Sucursal/Agencia 539,+502 3268-5620
170,Nombre_170,Apellido_170,Atención al Cliente,Chiquimula,Sucursal/Agencia 242,+502 3572-9453
171,Nombre_171,Apellido_171,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 579,+502 7645-2280
172,Nombre_172,Apellido_172,Asesor Financiero,Escuintla,Sucursal/Agencia 637,+502 4561-2300
173,Nombre_173,Apellido_173,Soporte Técnico,Quetzaltenango,Sucursal/Agencia 883,+502 5582-8276
174,Nombre_174,Apellido_174,Cajero,Petén,Sucursal/Agencia 203,+502 3550-8199
175,Nombre_175,Apellido_175,Auditor Interno,Quetzaltenango,Sucursal/Agencia 288,+502 5239-7872
176,Nombre_176,Apellido_176,Cumplimiento,Escuintla,Sucursal/Agencia 809,+502 4811-2299
177,Nombre_177,Apellido_177,Ejecutivo de Cuentas,Alta Verapaz,Sucursal/Agencia 618,+502 7965-9978
178,Nombre_178,Apellido_178,Oficial de Crédito,Petén,Sucursal/Agencia 918,+502 5284-6556
179,Nombre_179,Apellido_179,Gerente de Sucursal,Guatemala,Sucursal/Agencia 323,+502 2719-1098
180,Nombre_180,Apellido_180,Atención al Cliente,Escuintla,Sucursal/Agencia 702,+502 7031-7382
181,Nombre_181,Apellido_181,Soporte Técnico,Chiquimula,Sucursal/Agencia 155,+502 4046-8040
182,Nombre_182,Apellido_182,Cajero,Chiquimula,Sucursal/Agencia 945,+502 4993-3647
183,Nombre_183,Apellido_183,Cajero,Chiquimula,Sucursal/Agencia 895,+502 2776-7774
184,Nombre_184,Apellido_184,Asesor Financiero,Jutiapa,Sucursal/Agencia 501,+502 4176-8113
185,Nombre_185,Apellido_185,Auditor Interno,Jutiapa,Sucursal/Agencia 369,+502 3359-6953
186,Nombre_186,Apellido_186,Gerente de Sucursal,Huehuetenango,Sucursal/Agencia 398,+502 9259-5144
187,Nombre_187,Apellido_187,Administrador,Quetzaltenango,Sucursal/Agencia 68,+502 7029-1019
188,Nombre_188,Apellido_188,Auditor Interno,Petén,Sucursal/Agencia 705,+502 1293-2542
189,Nombre_189,Apellido_189,Gerente de Sucursal,Escuintla,Sucursal/Agencia 45,+502 9622-8675
190,Nombre_190,Apellido_190,Cumplimiento,Chiquimula,Sucursal/Agencia 333,+502 3928-6126
191,Nombre_191,Apellido_191,Cajero,Sacatepéquez,Sucursal/Agencia 327,+502 5588-2286
192,Nombre_192,Apellido_192,Ejecutivo de Cuentas,Sacatepéquez,Sucursal/Agencia 329,+502 2579-4110
193,Nombre_193,Apellido_193,Oficial de Crédito,Jalapa,Sucursal/Agencia 292,+502 3945-8024
194,Nombre_194,Apellido_194,Atención al Cliente,Petén,Sucursal/Agencia 302,+502 5438-4516
195,Nombre_195,Apellido_195,Administrador,Chiquimula,Sucursal/Agencia 699,+502 3584-2422
196,Nombre_196,Apellido_196,Ejecutivo de Cuentas,Jutiapa,Sucursal/Agencia 918,+502 7862-5579
197,Nombre_197,Apellido_197,Asesor Financiero,Guatemala,Sucursal/Agencia 908,+502 6131-9226
198,Nombre_198,Apellido_198,Cajero,Petén,Sucursal/Agencia 324,+502 7120-3431
199,Nombre_199,Apellido_199,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 160,+502 8729-1275
200,Nombre_200,Apellido_200,Cajero,Petén,Sucursal/Agencia 873,+502 7514-5246
201,Nombre_201,Apellido_201,Oficial de Crédito,Petén,Sucursal/Agencia 872,+502 3831-8869
202,Nombre_202,Apellido_202,Gerente de Sucursal,Guatemala,Sucursal/Agencia 645,+502 9451-7249
203,Nombre_203,Apellido_203,Gerente de Sucursal,Chiquimula,Sucursal/Agencia 926,+502 5424-4677
204,Nombre_204,Apellido_204,Gerente de Sucursal,Escuintla,Sucursal/Agencia 373,+502 5577-1203
205,Nombre_205,Apellido_205,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 240,+502 3367-9315
206,Nombre_206,Apellido_206,Atención al Cliente,Petén,Sucursal/Agencia 884,+502 8255-8548
207,Nombre_207,Apellido_207,Administrador,Escuintla,Sucursal/Agencia 884,+502 3952-6856
208,Nombre_208,Apellido_208,Gerente de Sucursal,Sacatepéquez,Sucursal/Agencia 628,+502 7967-2784
209,Nombre_209,Apellido_209,Administrador,Jalapa,Sucursal/Agencia 261,+502 7591-3150
210,Nombre_210,Apellido_210,Cumplimiento,Chiquimula,Sucursal/Agencia 714,+502 4708-5053
211,Nombre_211,Apellido_211,Ejecutivo de Cuentas,Sacatepéquez,Sucursal/Agencia 47,+502 9595-2871
212,Nombre_212,Apellido_212,Cumplimiento,Jutiapa,Sucursal/Agencia 51,+502 5349-6924
213,Nombre_213,Apellido_213,Auditor Interno,Petén,Sucursal/Agencia 325,+502 5618-8870
214,Nombre_214,Apellido_214,Soporte Técnico,Chiquimula,Sucursal/Agencia 819,+502 6389-5243
215,Nombre_215,Apellido_215,Oficial de Crédito,Alta Verapaz,Sucursal/Agencia 810,+502 5523-6518
216,Nombre_216,Apellido_216,Atención al Cliente,Petén,Sucursal/Agencia 592,+502 9317-4573
217,Nombre_217,Apellido_217,Soporte Técnico,Jalapa,Sucursal/Agencia 450,+502 8510-2803
218,Nombre_218,Apellido_218,Cumplimiento,Jalapa,Sucursal/Agencia 306,+502 6662-6523
219,Nombre_219,Apellido_219,Oficial de Crédito,Chiquimula,Sucursal/Agencia 556,+502 9097-5517
220,Nombre_220,Apellido_220,Atención al Cliente,Quetzaltenango,Sucursal/Agencia 595,+502 5839-8768
221,Nombre_221,Apellido_221,Auditor Interno,Guatemala,Sucursal/Agencia 907,+502 5339-1378
222,Nombre_222,Apellido_222,Soporte Técnico,Jalapa,Sucursal/Agencia 865,+502 7554-9517
223,Nombre_223,Apellido_223,Cumplimiento,Jutiapa,Sucursal/Agencia 309,+502 7783-1969
224,Nombre_224,Apellido_224,Oficial de Crédito,Quetzaltenango,Sucursal/Agencia 692,+502 1776-6297
225,Nombre_225,Apellido_225,Ejecutivo de Cuentas,Alta Verapaz,Sucursal/Agencia 331,+502 7058-1249
226,Nombre_226,Apellido_226,Atención al Cliente,Chiquimula,Sucursal/Agencia 395,+502 2537-3833
227,Nombre_227,Apellido_227,Cumplimiento,Guatemala,Sucursal/Agencia 298,+502 5911-9231
228,Nombre_228,Apellido_228,Asesor Financiero,Guatemala,Sucursal/Agencia 953,+502 9827-6461
229,Nombre_229,Apellido_229,Ejecutivo de Cuentas,Quetzaltenango,Sucursal/Agencia 595,+502 2812-5381
230,Nombre_230,Apellido_230,Ejecutivo de Cuentas,Petén,Sucursal/Agencia 719,+502 1339-6320
231,Nombre_231,Apellido_231,Cumplimiento,Sacatepéquez,Sucursal/Agencia 556,+502 1357-3111
232,Nombre_232,Apellido_232,Gerente de Sucursal,Escuintla,Sucursal/Agencia 767,+502 2367-7763
233,Nombre_233,Apellido_233,Administrador,Jalapa,Sucursal/Agencia 398,+502 7867-3709
234,Nombre_234,Apellido_234,Asesor Financiero,Alta Verapaz,Sucursal/Agencia 702,+502 9068-2802
235,Nombre_235,Apellido_235,Ejecutivo de Cuentas,Jalapa,Sucursal/Agencia 971,+502 5861-4861
236,Nombre_236,Apellido_236,Gerente de Sucursal,Escuintla,Sucursal/Agencia 975,+502 2401-3340
237,Nombre_237,Apellido_237,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 105,+502 6300-2082
238,Nombre_238,Apellido_238,Asesor Financiero,Chiquimula,Sucursal/Agencia 815,+502 5479-3978
239,Nombre_239,Apellido_239,Atención al Cliente,Escuintla,Sucursal/Agencia 466,+502 7815-8073
240,Nombre_240,Apellido_240,Atención al Cliente,Jalapa,Sucursal/Agencia 476,+502 1277-9810
241,Nombre_241,Apellido_241,Ejecutivo de Cuentas,Jalapa,Sucursal/Agencia 530,+502 7839-1886
242,Nombre_242,Apellido_242,Oficial de Crédito,Quetzaltenango,Sucursal/Agencia 226,+502 7663-9013
243,Nombre_243,Apellido_243,Asesor Financiero,Escuintla,Sucursal/Agencia 90,+502 6053-8820
244,Nombre_244,Apellido_244,Administrador,Chiquimula,Sucursal/Agencia 798,+502 3843-5787
245,Nombre_245,Apellido_245,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 721,+502 9134-5070
246,Nombre_246,Apellido_246,Cumplimiento,Alta Verapaz,Sucursal/Agencia 399,+502 5620-3031
247,Nombre_247,Apellido_247,Auditor Interno,Sacatepéquez,Sucursal/Agencia 446,+502 6024-5591
248,Nombre_248,Apellido_248,Cajero,Petén,Sucursal/Agencia 474,+502 5033-6725
249,Nombre_249,Apellido_249,Cumplimiento,Escuintla,Sucursal/Agencia 436,+502 8663-6274
250,Nombre_250,Apellido_250,Soporte Técnico,Escuintla,Sucursal/Agencia 954,+502 7435-7961
251,Nombre_251,Apellido_251,Soporte Técnico,Guatemala,Sucursal/Agencia 581,+502 1438-5253
252,Nombre_252,Apellido_252,Administrador,Petén,Sucursal/Agencia 624,+502 9152-7254
253,Nombre_253,Apellido_253,Ejecutivo de Cuentas,Quetzaltenango,Sucursal/Agencia 187,+502 2120-9446
254,Nombre_254,Apellido_254,Auditor Interno,Chiquimula,Sucursal/Agencia 771,+502 5230-8794
255,Nombre_255,Apellido_255,Soporte Técnico,Huehuetenango,Sucursal/Agencia 212,+502 6990-7663
256,Nombre_256,Apellido_256,Oficial de Crédito,Quetzaltenango,Sucursal/Agencia 601,+502 8271-9756
257,Nombre_257,Apellido_257,Cumplimiento,Quetzaltenango,Sucursal/Agencia 480,+502 8174-9194
258,Nombre_258,Apellido_258,Soporte Técnico,Alta Verapaz,Sucursal/Agencia 674,+502 1166-5566
